id,origin_city,destination_city
1000000,塔城地区,石林彝族自治县
1000001,塔城地区,嵩明县
1000002,塔城地区,禄劝彝族苗族自治县
1000003,塔城地区,寻甸回族彝族自治县
1000004,塔城地区,安宁市
1000005,塔城地区,麒麟区
1000006,塔城地区,沾益区
1000007,塔城地区,马龙县
1000008,塔城地区,陆良县
1000009,塔城地区,师宗县
1000010,塔城地区,罗平县
1000011,塔城地区,富源县
1000012,塔城地区,会泽县
1000013,塔城地区,宣威市
1000014,塔城地区,红塔区
1000015,塔城地区,江川区
1000016,塔城地区,澄江县
1000017,塔城地区,通海县
1000018,塔城地区,华宁县
1000019,塔城地区,易门县
1000020,塔城地区,峨山彝族自治县
1000021,塔城地区,新平彝族傣族自治县
1000022,塔城地区,元江哈尼族彝族傣族自治县
1000023,塔城地区,隆阳区
1000024,塔城地区,施甸县
1000025,塔城地区,龙陵县
1000026,塔城地区,昌宁县
1000027,塔城地区,腾冲市
1000028,塔城地区,昭阳区
1000029,塔城地区,鲁甸县
1000030,塔城地区,巧家县
1000031,塔城地区,盐津县
1000032,塔城地区,大关县
1000033,塔城地区,永善县
1000034,塔城地区,绥江县
1000035,塔城地区,镇雄县
1000036,塔城地区,彝良县
1000037,塔城地区,威信县
1000038,塔城地区,水富县
1000039,塔城地区,古城区
1000040,塔城地区,玉龙纳西族自治县
1000041,塔城地区,永胜县
1000042,塔城地区,华坪县
1000043,塔城地区,宁蒗彝族自治县
1000044,塔城地区,思茅区
1000045,塔城地区,宁洱哈尼族彝族自治县
1000046,塔城地区,墨江哈尼族自治县
1000047,塔城地区,景东彝族自治县
1000048,塔城地区,景谷傣族彝族自治县
1000049,塔城地区,镇沅彝族哈尼族拉祜族自治县
1000050,塔城地区,江城哈尼族彝族自治县
1000051,塔城地区,孟连傣族拉祜族佤族自治县
1000052,塔城地区,澜沧拉祜族自治县
1000053,塔城地区,西盟佤族自治县
1000054,塔城地区,临翔区
1000055,塔城地区,凤庆县
1000056,塔城地区,云县
1000057,塔城地区,永德县
1000058,塔城地区,镇康县
1000059,塔城地区,双江拉祜族佤族布朗族傣族自治县
1000060,塔城地区,耿马傣族佤族自治县
1000061,塔城地区,沧源佤族自治县
1000062,塔城地区,楚雄市
1000063,塔城地区,双柏县
1000064,塔城地区,牟定县
1000065,塔城地区,南华县
1000066,塔城地区,姚安县
1000067,塔城地区,大姚县
1000068,塔城地区,永仁县
1000069,塔城地区,元谋县
1000070,塔城地区,武定县
1000071,塔城地区,禄丰县
1000072,塔城地区,个旧市
1000073,塔城地区,开远市
1000074,塔城地区,蒙自市
1000075,塔城地区,弥勒市
1000076,塔城地区,屏边苗族自治县
1000077,塔城地区,建水县
1000078,塔城地区,石屏县
1000079,塔城地区,泸西县
1000080,塔城地区,元阳县
1000081,塔城地区,红河县
